Comercializadora,Tarifa,Precio_Potencia_P1,Precio_Potencia_P2,Precio_Potencia_P3,Precio_Potencia_P4,Precio_Potencia_P5,Precio_Potencia_P6,Precio_Energía_P1,Precio_Energía_P2,Precio_Energía_P3,Precio_Energía_P4,Precio_Energía_P5,Precio_Energía_P6,Fecha_Inicio,Fecha_Finalizacion
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.079875,0.079875,0.079875,0.079875,0.079875,0.079875,2020-02-01,2020-03-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.11797400000000001,0.11797400000000001,0.11797400000000001,0.11797400000000001,0.11797400000000001,0.11797400000000001,2020-01-01,2020-02-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.137087,0.137087,0.137087,0.137087,0.137087,0.137087,2020-01-01,2020-02-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13130699999999998,0.13130699999999998,0.13130699999999998,0.13130699999999998,0.13130699999999998,0.13130699999999998,2020-01-01,2020-02-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.149643,0.149643,0.149643,0.149643,0.149643,0.149643,2020-01-01,2020-02-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.098689,0.098689,0.098689,0.098689,0.098689,0.098689,2020-01-01,2020-02-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.084782,0.084782,0.084782,0.084782,0.084782,0.084782,2020-01-01,2020-02-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.122626,0.122626,0.122626,0.122626,0.122626,0.122626,2019-12-01,2020-01-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.141796,0.141796,0.141796,0.141796,0.141796,0.141796,2019-12-01,2020-01-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.135959,0.135959,0.135959,0.135959,0.135959,0.135959,2019-12-01,2020-01-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15435200000000002,0.15435200000000002,0.15435200000000002,0.15435200000000002,0.15435200000000002,0.15435200000000002,2019-12-01,2020-01-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.103206,0.103206,0.103206,0.103206,0.103206,0.103206,2019-12-01,2020-01-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.088926,0.088926,0.088926,0.088926,0.088926,0.088926,2019-12-01,2020-01-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.125963,0.125963,0.125963,0.125963,0.125963,0.125963,2019-11-01,2019-12-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.145161,0.145161,0.145161,0.145161,0.145161,0.145161,2019-11-01,2019-12-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.139296,0.139296,0.139296,0.139296,0.139296,0.139296,2019-11-01,2019-12-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15771700000000002,0.15771700000000002,0.15771700000000002,0.15771700000000002,0.15771700000000002,0.15771700000000002,2019-11-01,2019-12-01 00:00:00
